"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Получение курса для двух валют

Шаги:
________
Получаем курс Bitcoin на доллары USD и EUR
Проверяем, что курс имеется
","111","test_get_current_price_with_two_currency","tests","Sat May 23 18:52:42 UTC 2026","passed","Sat May 23 18:52:42 UTC 2026","","test_happy_path","",""
"Тест который делает ничего

Шаги:
________
Зато в комментах есть assert
Падение линтера все равно должно произойти и тесты не запустятся

UPD:
","0","test_with_pass","tests","Sat May 23 18:52:42 UTC 2026","passed","Sat May 23 18:52:42 UTC 2026","","test_without_asserts","",""
"Поломанный тест

Шаги:
________
Получаем курс Bitcoin на доллары USD и EUR
Проверяем, что курс имеется (и падаем =))
","48","test_get_current_price_with_two_currency_failed","tests","Sat May 23 18:52:42 UTC 2026","failed","Sat May 23 18:52:42 UTC 2026","","test_happy_path","",""
"Получение курса для одной валюты

Шаги:
________
Получаем курс Bitcoin на доллары USD
Проверяем, что курс имеется
","223","test_get_current_price_with_one_currency","tests","Sat May 23 18:52:42 UTC 2026","passed","Sat May 23 18:52:42 UTC 2026","","test_happy_path","",""
