"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Получение курса для двух валют

Шаги:
________
Получаем курс Bitcoin на доллары USD и EUR
Проверяем, что курс имеется
","151","test_get_current_price_with_two_currency","tests","Sat Oct 18 20:26:00 UTC 2025","passed","Sat Oct 18 20:26:00 UTC 2025","","test_happy_path","",""
"Получение курса для одной валюты

Шаги:
________
Получаем курс Bitcoin на доллары USD
Проверяем, что курс имеется
","139","test_get_current_price_with_one_currency","tests","Sat Oct 18 20:26:00 UTC 2025","passed","Sat Oct 18 20:26:00 UTC 2025","","test_happy_path","",""
